valeur_reelle,prediction,erreur,erreur_pourcentage
414248.0,416259.36,-2011.359999999986,-0.48554489098317577
434564.0,438583.44,-4019.4400000000023,-0.924936257950498
513808.0,518043.7,-4235.700000000012,-0.8243740852614229
401317.0,404707.8,-3390.7999999999884,-0.844918107132264
452770.0,437016.68,15753.320000000007,3.4793206263665897
419425.0,446104.33,-26679.330000000016,-6.3609298444298785
479236.0,502978.7,-23742.70000000001,-4.954281397891647
466107.0,476033.01,-9926.01000000001,-2.1295560890525156
468896.0,447057.03,21838.969999999972,4.657529601446797
395750.0,440483.27,-44733.27000000002,-11.30341629816804
391130.0,390381.35,748.6500000000233,0.1914069490962144
376168.0,380737.72,-4569.719999999972,-1.2148082771527542
404687.0,376658.07,28028.929999999993,6.926076202101869
375654.0,384321.4,-8667.400000000023,-2.3072827655236
381709.0,379318.22,2390.780000000028,0.6263357688710584
567071.0,450546.04,116524.96000000002,20.548566228920194
494943.0,510621.62,-15678.619999999995,-3.167762752478567
412156.0,384707.68,27448.320000000007,6.65969196129621
376046.0,387249.24,-11203.23999999999,-2.9792206272636834
466939.0,425146.34,41792.659999999974,8.950346833312269
422145.0,445589.74,-23444.73999999999,-5.553717324615947
404341.0,419437.38,-15096.380000000005,-3.733576362525691
420418.0,402901.26,17516.73999999999,4.166505715740048
358605.0,367323.76,-8718.76000000001,-2.4312990616416417
552658.0,446297.67,106360.33000000002,19.245234846867323
383067.0,392751.44,-9684.440000000002,-2.5281321544272943
410927.0,409723.89,1203.109999999986,0.2927794961148783
460515.0,484692.75,-24177.75,-5.250154718087359
395530.0,408025.32,-12495.320000000007,-3.159133314792811
450275.0,412157.14,38117.859999999986,8.465462217533727
440426.0,454016.81,-13590.809999999998,-3.0858328073274506
398651.0,406121.29,-7470.289999999979,-1.8738922014493828
357818.0,360822.72,-3004.719999999972,-0.8397341665315808
389386.0,389922.16,-536.1599999999744,-0.13769370239299164
349525.0,392015.93,-42490.92999999999,-12.156764179958513
413975.0,403995.52,9979.479999999981,2.410647985989488
415651.0,429594.11,-13943.109999999986,-3.354523386206213
431803.0,402142.52,29660.47999999998,6.868984235866815
402513.0,458013.68,-55500.67999999999,-13.788543475614452
513555.0,454466.35,59088.65000000002,11.50580755712631
380516.0,403427.95,-22911.95000000001,-6.021284256115384
596304.0,507191.61,89112.39000000001,14.944120784029625
348943.0,355747.08,-6804.080000000016,-1.9499115901451
437372.0,432751.05,4620.950000000012,1.0565262522520902
486293.0,515333.95,-29040.95000000001,-5.971903769949395
401953.0,403424.26,-1471.2600000000093,-0.3660278689299518
432479.0,422991.83,9487.169999999984,2.1936718314646453
375515.0,388450.55,-12935.549999999988,-3.444749211083442
413441.0,414517.77,-1076.7700000000186,-0.26044103028002025
368280.0,373100.09,-4820.090000000026,-1.3088112305854311
490740.0,450146.52,40593.47999999998,8.27189142927008
369434.0,403062.61,-33628.609999999986,-9.102738242825508
468200.0,451951.41,16248.590000000026,3.4704378470739052
463755.0,442385.32,21369.679999999993,4.6079675690828115
482259.0,438350.92,43908.080000000016,9.104667823721282
379019.0,370378.28,8640.719999999972,2.2797590622105943
373643.0,397583.77,-23940.77000000002,-6.407391547546728
399103.0,410528.13,-11425.130000000005,-2.862702109480511
456805.0,440986.78,15818.219999999972,3.462794846816469
380625.0,386216.73,-5591.729999999981,-1.4690916256157587
435171.0,412085.55,23085.45000000001,5.3049146197701615
597873.0,502346.31,95526.69,15.977756145535926
558140.0,518848.09,39291.909999999974,7.039794675171099
446229.0,440740.63,5488.369999999995,1.2299447144851623
378583.0,403828.6,-25245.599999999977,-6.668445228655269
427119.0,457899.58,-30780.580000000016,-7.206558359614069
390792.0,414945.54,-24153.53999999998,-6.180663882576916
409743.0,404231.45,5511.549999999988,1.3451236506785933
